nameseq,k1,k2,k3,label
lcl|Zmarina_Zosma100g00100.1,1.9970202634216498,3.9507877131210827,5.812912713387509,0
lcl|Zmarina_Zosma101g00060.1,1.9507444671718182,3.841458892900945,5.6772860002204055,0
lcl|Zmarina_Zosma101g00070.1,1.9610409855252837,3.889053879541441,5.774240940704873,0
lcl|Zmarina_Zosma101g00100.1,1.93697963051668,3.849014381767972,5.650810065745099,0
lcl|Zmarina_Zosma101g00360.1,1.929946760757302,3.8045822510047937,5.464825686148802,0
lcl|Zmarina_Zosma101g00420.1,1.950435907517571,3.862992703560338,5.700010103757921,0
lcl|Zmarina_Zosma101g00530.1,1.944854497543945,3.861544099006948,5.678513982230582,0
lcl|Zmarina_Zosma101g00580.1,1.9487143208924826,3.8390031081983502,5.625330657460813,0
lcl|Zmarina_Zosma101g00650.1,1.9763749282370284,3.9142442498556944,5.798573788917922,0
lcl|Zmarina_Zosma101g00680.1,1.989239680042951,3.9484442341531656,5.789593061540588,0
lcl|Zmarina_Zosma101g00720.1,1.9776962321984224,3.907661123345358,5.768565190034614,0
lcl|Zmarina_Zosma102g00010.1,1.9620444682932336,3.8752662117065895,5.688952519445546,0
lcl|Zmarina_Zosma102g00020.1,1.9913037703120846,3.9347152121056532,5.743601505301464,0
lcl|Zmarina_Zosma102g00130.1,1.9170437137189589,3.8027489455056362,5.608187057359134,0
lcl|Zmarina_Zosma102g00190.1,1.9800400036652137,3.84008776513524,5.634407055270925,0
lcl|Zmarina_Zosma102g00290.1,1.9076470695301497,3.7488228221335875,5.470564409546879,0
lcl|Zmarina_Zosma103g00670.1,1.9393467253601622,3.8456994761488477,5.686420613893345,0
lcl|Zmarina_Zosma103g00750.1,1.9994662826247933,3.9476869243837185,5.757615835283581,0
lcl|Zmarina_Zosma103g00800.1,1.950480364213107,3.877178975289843,5.762313903862613,0
lcl|Zmarina_Zosma103g00840.1,1.9370014575715861,3.8488935510729183,5.629508695535384,0
lcl|Zmarina_Zosma103g00870.1,1.9598762701511498,3.8850768689605477,5.634955000365453,0
lcl|Zmarina_Zosma1042g00010.1,1.9429137909590273,3.834737991992426,5.528322730816873,0
lcl|Zmarina_Zosma1042g00030.1,1.9052857025290042,3.7903288905584596,5.612726590520704,0
lcl|Zmarina_Zosma104g00030.1,1.9753861774679988,3.9249593430589163,5.848930765923372,0
lcl|Zmarina_Zosma104g00040.1,1.9847702234578495,3.9407645897378476,5.838146588056371,0
lcl|Zmarina_Zosma104g00090.1,1.9831331851955643,3.88827977259279,5.681070679990292,0
lcl|Zmarina_Zosma104g00140.1,1.9327033477421764,3.844276682953245,5.689755976036453,0
lcl|Zmarina_Zosma104g00320.1,1.9975676931545125,3.975759605972357,5.836681406996204,0
lcl|Zmarina_Zosma105g00200.1,1.9495387710887058,3.8642459185627382,5.67527116725937,0
lcl|Zmarina_Zosma105g00350.1,1.9698302239012841,3.929099567112334,5.842153505742394,0
lcl|Zmarina_Zosma105g00370.1,1.9800498454302857,3.944768926096077,5.877570097975853,0
lcl|Zmarina_Zosma105g00550.1,1.958513500749604,3.863514235454891,5.5951942393379435,0
lcl|Zmarina_Zosma1063g00020.1,1.9640800621196355,3.8777149089817233,5.617364550677654,0
lcl|Zmarina_Zosma106g00060.1,1.9781858413745652,3.9392621131312864,5.834756635780057,0
lcl|Zmarina_Zosma106g00640.1,1.9201541873435741,3.7843784680422328,5.494181671738033,0
lcl|Zmarina_Zosma106g00720.1,1.9605493163558643,3.8936103600841867,5.738756227463302,0
lcl|Zmarina_Zosma106g00730.1,1.9572354919681723,3.8544312482453624,5.68771126817383,0
lcl|Zmarina_Zosma1071g00010.1,1.9755115082001329,3.8086150447083904,5.3740206749795725,0
lcl|Zmarina_Zosma107g00290.1,1.9811409923126007,3.8906142802338306,5.726940531755925,0
lcl|Zmarina_Zosma107g00470.1,1.946249103574139,3.731975806700519,5.347507978760208,0
lcl|Zmarina_Zosma107g00530.1,1.9253949001465835,3.8186998696776193,5.626646035632807,0
lcl|Zmarina_Zosma107g00770.1,1.9897878588175615,3.8906476345647345,5.698457707182154,0
lcl|Zmarina_Zosma107g00840.1,1.9293673257424917,3.8029215909231664,5.552232709241997,0
lcl|Zmarina_Zosma10867g00010.1,1.9427431777787354,3.8062313362384357,5.289807182108179,0
lcl|Zmarina_Zosma108g00050.1,1.9800161292529541,3.879940221136584,5.613644058107699,0
lcl|Zmarina_Zosma108g00300.1,1.898640855401027,3.7584437525494505,5.5221035501743225,0
lcl|Zmarina_Zosma108g00370.1,1.9751185142664465,3.931442815121919,5.822104353471031,0
lcl|Zmarina_Zosma109g00110.1,1.9721724161694278,3.9359119764636947,5.870513607765088,0
lcl|Zmarina_Zosma109g00120.1,1.9775154241235549,3.8860052634211275,5.68635252674063,0
lcl|Zmarina_Zosma109g00240.1,1.9361189033244677,3.8473655059016147,5.72683196187987,0
lcl|Zmarina_Zosma109g00420.1,1.966276288237457,3.9023762586976245,5.708972349329456,0
lcl|Zmarina_Zosma109g00550.1,1.96939393768224,3.8823557597522056,5.636931486118277,0
lcl|Zmarina_Zosma10g00950.1,1.9063136825715934,3.7483332864715604,5.481801298659351,0
lcl|Zmarina_Zosma10g01060.1,1.9576871067491914,3.8639023259534473,5.72000561896032,0
lcl|Zmarina_Zosma10g01100.1,1.993391254320432,3.949019503328828,5.8637734674185165,0
lcl|Zmarina_Zosma10g01300.1,1.8833259783082363,3.7268575673567716,5.399279831403498,0
lcl|Zmarina_Zosma10g01380.1,1.9397940441704022,3.802426821421,5.554692151326095,0
lcl|Zmarina_Zosma10g01510.1,1.96849075328264,3.895676654193552,5.775419030786897,0
lcl|Zmarina_Zosma10g01580.1,1.9191016060539534,3.783493011982125,5.609912238069724,0
lcl|Zmarina_Zosma110g00030.1,1.9256013398445313,3.8188059114744757,5.588110704902844,0
lcl|Zmarina_Zosma110g00060.1,1.9750546366056794,3.900005850069116,5.672738537411056,0
lcl|Zmarina_Zosma110g00080.1,1.911328030906087,3.778069945378455,5.5288738809933085,0
lcl|Zmarina_Zosma110g00200.1,1.8531500031764372,3.678445501060092,5.328752187941375,0
lcl|Zmarina_Zosma1110g00010.1,1.8674425762197258,3.698279035102507,5.348127401126877,0
lcl|Zmarina_Zosma111g00050.1,1.6983288892235233,3.3724006465261334,4.740833938074355,0
lcl|Zmarina_Zosma111g00060.1,1.9268338737640938,3.8150391090193763,5.5877159834893515,0
lcl|Zmarina_Zosma111g00180.1,1.9734458775899588,3.9224247893412447,5.829054890992715,0
lcl|Zmarina_Zosma112g00200.1,1.9915239724796185,3.917985538400915,5.7007896886377045,0
lcl|Zmarina_Zosma112g00400.1,1.9634721193131266,3.8947821210368936,5.737641144594805,0
lcl|Zmarina_Zosma112g00480.1,1.9783347084548264,3.9409975259086742,5.849483984360583,0
lcl|Zmarina_Zosma112g00490.1,1.973260267631654,3.8954378495690296,5.712670348945598,0
lcl|Zmarina_Zosma11316g00010.1,1.9491881298655778,3.871192951021277,5.745464347824591,0
lcl|Zmarina_Zosma1133g00010.1,1.885310276936179,3.68069706528298,5.375789658680234,0
lcl|Zmarina_Zosma1133g00040.1,1.9369863302290347,3.842464082149683,5.638600896580039,0
lcl|Zmarina_Zosma1135g00010.1,1.9457871870613932,3.826144062022181,5.60411248865087,0
lcl|Zmarina_Zosma113g00100.1,1.9605411047932577,3.8462247450868086,5.645231692735133,0
lcl|Zmarina_Zosma113g00460.1,1.9585521120792344,3.8536873988081375,5.5987311174671275,0
lcl|Zmarina_Zosma113g00550.1,1.9645576613603193,3.847652542961929,5.6603787816838995,0
lcl|Zmarina_Zosma114g00010.1,1.9810961595898762,3.927506024522697,5.727467015848077,0
lcl|Zmarina_Zosma114g00190.1,1.9577320808889849,3.8751866730677205,5.705643171327303,0
lcl|Zmarina_Zosma114g00240.1,1.971750358188523,3.902099777534407,5.758853665553932,0
lcl|Zmarina_Zosma114g00620.1,1.9729821872073672,3.891763385589414,5.7594494823765485,0
lcl|Zmarina_Zosma114g00770.1,1.969618498859083,3.843038729452265,5.5889201745746595,0
lcl|Zmarina_Zosma114g00900.1,1.9331742842335948,3.8510760530932826,5.7015159135076585,0
lcl|Zmarina_Zosma1153g00010.1,1.994902067941634,3.962455620792281,5.858803105802255,0
lcl|Zmarina_Zosma115g00250.1,1.9144860526246759,3.760362925858864,5.431921095669994,0
lcl|Zmarina_Zosma115g00270.1,1.9764165384972292,3.8893309238806255,5.653465917283203,0
lcl|Zmarina_Zosma116g00390.1,1.9708148051150811,3.9058581085555786,5.794865253011878,0
lcl|Zmarina_Zosma116g00400.1,1.983203840020929,3.925001391593784,5.789697381780937,0
lcl|Zmarina_Zosma116g00890.1,1.930728587435214,3.839012170540186,5.629497029037405,0
lcl|Zmarina_Zosma11743g00010.1,1.8267116942712398,3.5632937943347236,5.197552868676812,0
lcl|Zmarina_Zosma117g00060.1,1.9844253904733147,3.9444912803540433,5.843578929903099,0
lcl|Zmarina_Zosma117g00140.1,1.9354651017730027,3.8147475988709623,5.654586923399704,0
lcl|Zmarina_Zosma117g00270.1,1.9895086540244704,3.925384914010956,5.802747420798814,0
lcl|Zmarina_Zosma117g00450.1,1.9521035746853364,3.872110499611759,5.736465450411248,0
lcl|Zmarina_Zosma117g00490.1,1.983085225735243,3.9359096090228882,5.819516198521524,0
lcl|Zmarina_Zosma117g00880.1,1.9911273932988895,3.964275731373678,5.840514252529581,0
lcl|Zmarina_Zosma118g00020.1,1.962388414438395,3.8816442562357194,5.73970253181172,0
lcl|Zmarina_Zosma118g00200.1,1.95631269220695,3.868876906400158,5.710027141590482,0
lcl|Zmarina_Zosma118g00260.1,1.9890689125341283,3.9062878673823658,5.624906086881587,0
lcl|Zmarina_Zosma118g00350.1,1.9921201058498106,3.952915393970224,5.871652875468703,0
lcl|Zmarina_Zosma118g00500.1,1.9268078017895933,3.822261465320432,5.657976461662256,0
lcl|Zmarina_Zosma119g00010.1,1.9316592380498936,3.8424474768283403,5.62009343650362,0
lcl|Zmarina_Zosma119g00120.1,1.7827575226953385,3.5090240405152877,4.887392437950353,0
lcl|Zmarina_Zosma119g00240.1,1.9547356942945937,3.86587289593189,5.603927244989732,0
lcl|Zmarina_Zosma11g00060.1,1.8966397440755738,3.7264047298693974,5.387591785702114,0
lcl|Zmarina_Zosma11g00070.1,1.9093611876110714,3.811142259604714,5.538268611861438,0
lcl|Zmarina_Zosma11g00080.1,1.977300947612801,3.9203809563380063,5.8240747078496575,0
lcl|Zmarina_Zosma11g00350.1,1.9746265459299837,3.938531627760919,5.865509256637154,0
lcl|Zmarina_Zosma11g00750.1,1.89350276893541,3.7286652077095463,5.4747772150491905,0
lcl|Zmarina_Zosma11g00760.1,1.993963716115899,3.9521837622442533,5.869377358737197,0
lcl|Zmarina_Zosma11g00990.1,1.9587060332575263,3.8637910347060074,5.686807886222346,0
lcl|Zmarina_Zosma11g01110.1,1.9726931229150486,3.9144744378780896,5.79589997983196,0
lcl|Zmarina_Zosma12088g00010.1,1.9774114122785338,3.882418098364831,5.610327687248313,0
lcl|Zmarina_Zosma120g00510.1,1.96576934510442,3.8967169049482604,5.734256335140535,0
lcl|Zmarina_Zosma121g00190.1,1.9203272909259497,3.8209364138814568,5.648228674967937,0
lcl|Zmarina_Zosma121g00690.1,1.9966414859641783,3.942503731083719,5.806588445016896,0
lcl|Zmarina_Zosma1224g00020.1,1.92096590159043,3.8203345057150013,5.62169191766912,0
lcl|Zmarina_Zosma122g00240.1,1.9893212823948896,3.9152933471251994,5.719871151323613,0
lcl|Zmarina_Zosma122g00720.1,1.9562102613033971,3.886642359589892,5.782663839326785,0
lcl|Zmarina_Zosma12360g00010.1,1.9844488938391964,3.949611591726296,5.8172372515765165,0
lcl|Zmarina_Zosma123g00070.1,1.9402719102833255,3.848658835380162,5.684595159110872,0
lcl|Zmarina_Zosma123g00120.1,1.9542279842589325,3.849077531289084,5.607518368990375,0
lcl|Zmarina_Zosma123g00230.1,1.9545817309254634,3.8899891652128664,5.784910079706411,0
lcl|Zmarina_Zosma123g00470.1,1.9251381493495858,3.820829200923551,5.648033045758419,0
lcl|Zmarina_Zosma123g00760.1,1.9307439776030901,3.840629266668137,5.710600014403931,0
lcl|Zmarina_Zosma123g00800.1,1.9947828618539691,3.8796804742305433,5.625759790652664,0
lcl|Zmarina_Zosma124g00020.1,1.9705114890303488,3.901355958860843,5.747137016030894,0
lcl|Zmarina_Zosma124g00030.1,1.9326236062323283,3.8096034660657967,5.584089456677411,0
lcl|Zmarina_Zosma124g00240.1,1.8852317941073744,3.7260504415901736,5.467134162281809,0
lcl|Zmarina_Zosma124g00290.1,1.9731358463211013,3.9184998092958336,5.82931318912171,0
lcl|Zmarina_Zosma124g00370.1,1.9683596160406678,3.824419367000316,5.4995366923023,0
lcl|Zmarina_Zosma124g00390.1,1.9756563193640735,3.905341578632279,5.782426006454967,0
lcl|Zmarina_Zosma125g00330.1,1.942440224582381,3.7917129389959348,5.52997940434284,0
lcl|Zmarina_Zosma126g00050.1,1.8938894556953052,3.7166774152989768,5.445151145377018,0
lcl|Zmarina_Zosma127g00100.1,1.944375663481586,3.8718043634513846,5.76118440739523,0
lcl|Zmarina_Zosma127g00310.1,1.9350329439996603,3.8500725318926365,5.718311433262664,0
lcl|Zmarina_Zosma127g00330.1,1.9561147460582269,3.8685316008302606,5.717338391771457,0
lcl|Zmarina_Zosma1281g00010.1,1.9484244911552393,3.8642665651220245,5.697410018431758,0
lcl|Zmarina_Zosma1285g00010.1,1.9771253366733426,3.907344060894867,5.746012038407909,0
lcl|Zmarina_Zosma128g00040.1,1.9353517019003603,3.812964652635535,5.526220527527813,0
lcl|Zmarina_Zosma128g00180.1,1.92420966401152,3.802562151045306,5.619934117299925,0
lcl|Zmarina_Zosma128g00360.1,1.9658236206917166,3.906415071878631,5.659659884558662,0
lcl|Zmarina_Zosma128g00370.1,1.9697428697444193,3.9045406962815092,5.695602724778008,0
lcl|Zmarina_Zosma128g00390.1,1.9907215502092588,3.93115645268478,5.776389641916454,0
lcl|Zmarina_Zosma129g00030.1,1.9768677659561509,3.8603521047356186,5.651562135735722,0
lcl|Zmarina_Zosma129g00160.1,1.9901230443816704,3.9575934250038127,5.861969065912705,0
lcl|Zmarina_Zosma129g00330.1,1.975819121756432,3.8194827718925275,5.50572329305383,0
lcl|Zmarina_Zosma12g00040.1,1.971675830587268,3.884991228805983,5.700140217871864,0
lcl|Zmarina_Zosma12g00070.1,1.9880721716906982,3.915681439133987,5.692287277174033,0
lcl|Zmarina_Zosma12g00100.1,1.9432221783411645,3.814361031846583,5.59220135405104,0
