nameseq,k1,k2,k3,label
Zosma01g08430.1,1.9818155528299386,3.9143329488022345,5.828360647529004,1
Zosma03g30760.1,1.9790716634075742,3.8973028905977776,5.769770949114867,1
Zosma01g19980.1,1.9839992869136713,3.9336881035823015,5.843365990673923,1
Zosma06g08240.1,1.8942683899913337,3.7731480147143968,5.617506329504375,1
Zosma03g07930.1,1.90979918427565,3.805431573597233,5.665830437990211,1
Zosma05g18090.1,1.9905758363847461,3.940042596762539,5.851086067908242,1
Zosma02g09000.1,1.9762079568995141,3.9130070189620136,5.771826889211525,1
Zosma01g33480.1,1.9818401245632546,3.925805976791233,5.847590993124711,1
Zosma02g04170.1,1.955997107253816,3.8101362248825916,5.540229794594164,1
Zosma07g00310.1,1.9602868006122462,3.900602345958387,5.817704736164558,1
Zosma03g13750.1,1.9949467666731755,3.951502797622781,5.827535770446522,1
Zosma01g12610.1,1.954249308981176,3.883776644983839,5.786603375571526,1
Zosma05g04510.1,1.9525824879672795,3.8776203564119016,5.78195729651187,1
Zosma01g20760.1,1.9940039434389405,3.9429317527673478,5.7582875206285165,1
Zosma04g12140.1,1.9953429322746148,3.9453765560936684,5.841733688756554,1
Zosma01g29400.1,1.9843878999534421,3.945455801755717,5.857947116567285,1
Zosma05g13890.1,1.9721525562745226,3.913856081959364,5.828110756207319,1
Zosma04g18730.1,1.967303189034525,3.900095453935195,5.794314847960181,1
Zosma04g01940.1,1.989855016460105,3.933886642122687,5.8308822401743425,1
Zosma01g40610.1,1.9708637373945455,3.914303630339359,5.837451593896374,1
Zosma03g36970.1,1.9775308619903864,3.933361685381786,5.754236990927562,1
Zosma01g26660.1,1.9783505605983578,3.9276920472723744,5.851521618440844,1
Zosma03g09480.1,1.9955875258437366,3.9507154071955313,5.863269716934315,1
Zosma05g06120.1,1.9823032618165268,3.9235011867183323,5.8039771120036345,1
Zosma03g26240.1,1.9984795821505423,3.9646099628186606,5.90011012268592,1
Zosma01g32790.1,1.982717500798733,3.9411145608896803,5.871980586180889,1
Zosma02g00630.1,1.9870516198598174,3.9368006173249563,5.847671605066145,1
Zosma06g17560.1,1.9702658503035626,3.902789629715873,5.81273502482035,1
Zosma03g36840.1,1.9615797278008773,3.886353870343592,5.741040287361501,1
Zosma04g07790.1,1.9209866945872454,3.8138578794148708,5.6241830197960905,1
Zosma01g30220.1,1.996876782513109,3.912037032171425,5.669731357832284,1
Zosma05g14820.1,1.9959403764357777,3.975185024214725,5.920466497612609,1
Zosma01g42610.1,1.956012126147649,3.865932257832811,5.658172609261493,1
Zosma06g00520.1,1.9965126170179737,3.967814041143623,5.909989578623125,1
Zosma01g01910.1,1.9914295213621611,3.9471994464807856,5.831863875846533,1
Zosma04g16680.1,1.9928782922355335,3.9478228848760093,5.86957708997198,1
Zosma06g01190.1,1.9332194907776792,3.815840295398879,5.670778521555423,1
Zosma02g21920.1,1.995861894885521,3.9410207036089995,5.851487621308137,1
Zosma05g09140.1,1.9912217173195834,3.940796683914402,5.841375700497182,1
Zosma03g28960.1,1.9572485689225934,3.873874485931487,5.754820403239391,1
Zosma01g04290.1,1.9704249058598693,3.8971670241113774,5.807309996754811,1
Zosma06g09050.1,1.978743805588875,3.9048201714846145,5.80971944770645,1
Zosma05g17690.1,1.9945380162200075,3.963975262073237,5.902572353929988,1
Zosma1198g00020.1,1.9840769771516462,3.90931296655271,5.756200770363171,1
Zosma25g00020.1,1.9993357005066308,3.9749222813890857,5.927613130509319,1
Zosma01g17430.1,1.9979838314420635,3.9752157624148547,5.922769901673974,1
Zosma03g20330.1,1.973272953959689,3.9112593145842096,5.826396016544029,1
Zosma04g09520.1,1.9397526005154597,3.847175333976243,5.699752288153341,1
Zosma04g23260.1,1.964930591817453,3.891880786077702,5.7444505019412055,1
Zosma01g24080.1,1.9903491501183708,3.958449324130183,5.879858020859563,1
Zosma06g21210.1,1.9299555711993786,3.7920030051506233,5.585333126445219,1
Zosma02g14290.1,1.9679205021574027,3.9205551151081632,5.836535000212813,1
Zosma01g23400.1,1.9855715247842192,3.9369943781022423,5.870560695100554,1
Zosma05g23610.1,1.9810037085362526,3.9270899974302447,5.83946805720594,1
Zosma03g19630.1,1.9783938289461698,3.8996572103349942,5.796651411451418,1
Zosma06g25300.1,1.981089234974263,3.935497361001218,5.862853674499201,1
Zosma02g07490.1,1.9771065387120477,3.920947067886342,5.824708298925965,1
Zosma04g17210.1,1.9833243641410163,3.9246627849855202,5.844027063001702,1
Zosma04g04650.1,1.957339160372146,3.8771056588381585,5.76159443016084,1
Zosma05g25880.1,1.9940339140963834,3.9587632245496187,5.896845632181235,1
Zosma01g31810.1,1.9759627210602921,3.918042560605918,5.8273084223105105,1
Zosma06g16040.1,1.9992858885489273,3.9519473183326497,5.870281224521303,1
Zosma02g13930.1,1.9789424380777447,3.952692364798082,5.877017760887798,1
Zosma04g23740.1,1.971231138183861,3.900946572260721,5.802722283524333,1
Zosma03g06740.1,1.974059065087963,3.910545152345608,5.822538242071777,1
Zosma07g02830.1,1.9703794908046353,3.916030186242831,5.804104502040796,1
Zosma05g03870.1,1.9652112798143673,3.9071800103583345,5.81313339943377,1
Zosma03g12710.1,1.9894078262614325,3.9402383071120064,5.796660137582374,1
